"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.513186625E0,2.138399854E-3,9.858679678E-3,-5.529594898E-2,5.620861404E-2
2.523140625E0,-6.070542745E-3,-6.390147898E-3,-1.248088181E-2,1.527932885E-2
2.533095625E0,3.030063696E-3,7.398829143E-3,-2.071142256E-2,2.220105816E-2
2.543049625E0,-7.711015642E-6,4.554542452E-3,-1.532496750E-2,1.598744962E-2
2.553004625E0,1.065179966E-2,-2.050806737E-2,-2.595345140E-2,3.475087484E-2
2.562958625E0,-6.485293061E-4,-1.560018864E-3,-3.508621752E-2,3.512686876E-2
2.572912625E0,1.623881422E-3,3.150753882E-3,-2.176509082E-2,2.205183483E-2
2.582867625E0,6.556007825E-3,-1.093763715E-2,-2.326607108E-2,2.653155119E-2
2.592821625E0,6.027309895E-3,9.693605471E-3,-3.628489673E-2,3.803798342E-2
2.602776625E0,-2.337826453E-3,-2.000856897E-2,-3.404132009E-2,3.955527446E-2
2.612730625E0,-4.995970689E-3,-9.497486204E-3,-2.311345875E-2,2.548320904E-2
2.622685625E0,-6.893209442E-3,-6.045545898E-3,-3.434537530E-2,3.554813309E-2
2.632639625E0,5.206799358E-3,6.116023120E-3,-4.078432918E-2,4.156775198E-2
2.642593625E0,2.120379467E-2,6.229404286E-3,-3.000615656E-2,3.726628258E-2
2.652548625E0,4.059868008E-3,1.556848576E-2,-2.296961725E-2,2.804395824E-2
2.662502625E0,-5.732975677E-3,-1.468473393E-3,-2.940974057E-2,2.999927107E-2
2.672457625E0,6.760477647E-3,2.578147016E-3,-4.079076111E-2,4.142749199E-2
2.682411625E0,-4.539997503E-4,-1.158178104E-2,-3.241111636E-2,3.442127586E-2
2.692367208E0,-1.346211769E-2,-1.720214300E-2,-4.019609928E-2,4.574788229E-2
2.702321208E0,-1.333859526E-2,-1.127867600E-2,-2.328536689E-2,2.910901865E-2
2.712275208E0,5.338544436E-3,8.018615730E-3,-3.271692574E-2,3.410565180E-2
2.722230208E0,2.518655252E-2,3.804289866E-3,-2.673171580E-2,3.692451325E-2
2.732184208E0,-5.322720408E-3,6.615210883E-4,-2.598210275E-2,2.652995714E-2
2.742139208E0,-8.356036618E-4,-1.950521506E-3,-1.700311840E-2,1.713501686E-2
2.752093208E0,2.000405565E-3,-4.350310173E-3,-2.718253613E-2,2.760103424E-2
2.762048208E0,2.575771585E-3,4.134091102E-3,-1.879938304E-2,1.942014705E-2
2.772002208E0,-1.603452712E-2,1.132675108E-2,-2.523132026E-2,3.196906117E-2
2.781956208E0,2.642210573E-3,7.845684327E-4,-2.028866887E-2,2.047503135E-2
2.791911208E0,2.007933855E-3,-4.493767954E-4,-3.196497381E-2,3.203112999E-2
2.801865208E0,1.575605348E-3,6.381322257E-3,-2.283863962E-2,2.376567410E-2
2.811820208E0,-2.520003766E-3,2.036402486E-3,-2.358240545E-2,2.380393246E-2
2.821774208E0,7.639752701E-3,5.195908919E-3,-3.151766181E-2,3.284396896E-2
2.831729208E0,-4.231922328E-4,1.503849048E-3,-3.226669014E-2,3.230448801E-2
2.841683208E0,1.821919307E-3,-1.161236929E-2,-2.687965035E-2,2.933738423E-2
2.851637208E0,-2.007860765E-3,2.702729255E-3,-2.238431096E-2,2.263611335E-2
2.861592208E0,6.467349418E-3,-4.552934468E-3,-2.658027291E-2,2.773205237E-2
2.871546208E0,1.520513613E-2,-4.242319409E-3,-3.316423774E-2,3.672955354E-2
2.881501208E0,-1.871839911E-3,-1.836758444E-2,-5.037785590E-2,5.365445282E-2
2.891455208E0,3.161735684E-3,-2.301372718E-3,-2.552192688E-2,2.581979164E-2
2.901410208E0,4.174034894E-3,-1.281600036E-3,-1.369710267E-2,1.437621951E-2
2.911364208E0,2.373969555E-3,9.644233044E-3,-2.851628602E-2,3.019644897E-2
2.921319208E0,-2.466794103E-3,7.185990494E-3,-2.462262511E-2,2.576814312E-2
