"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.768579958E0;5.264491277E-2;3.249681462E-2;1.811467409E-2;6.446449579E-2
2.778574958E0;3.678419413E-2;2.980652897E-2;3.099082768E-2;5.658566521E-2
2.788570958E0;1.515881522E-2;1.459911791E-2;2.156277716E-2;3.013100200E-2
2.798565958E0;-1.234100545E-2;3.713448803E-2;4.446807504E-2;5.923411445E-2
2.808560958E0;-1.920475954E-2;3.170502853E-2;2.246968031E-2;4.334648955E-2
2.818556958E0;5.886081364E-3;3.587087732E-2;1.020222187E-2;3.775514699E-2
2.828551958E0;7.271379942E-2;2.685463523E-2;2.008693993E-2;8.007467275E-2
2.838547958E0;9.650730763E-2;3.176466099E-2;5.273603797E-3;1.017372351E-1
2.848542958E0;1.212646197E-1;1.441619142E-2;9.367239475E-4;1.221221193E-1
2.858537958E0;1.101387205E-1;-2.197995773E-2;9.170773029E-3;1.126843351E-1
2.868533958E0;1.016867530E-1;-4.046815926E-2;4.233384132E-3;1.095252902E-1
2.878528958E0;5.560440788E-2;-3.139019251E-2;1.516066074E-2;6.562804275E-2
2.888524958E0;7.690884775E-2;-1.429276035E-2;3.881264806E-2;8.732511385E-2
2.898519958E0;3.450378003E-2;8.179752203E-3;5.512871861E-2;6.554841568E-2
2.908514958E0;1.355472296E-2;5.455149793E-2;4.405701578E-2;7.141860458E-2
2.918510958E0;2.944915446E-2;3.667502479E-2;5.438670695E-2;7.190426993E-2
2.928506625E0;5.208283089E-2;2.223850516E-2;1.487297773E-2;5.855235138E-2
2.938502625E0;6.186123926E-2;2.628222023E-2;-2.598911941E-2;7.206248921E-2
2.948497625E0;3.426176012E-2;2.010976234E-3;3.952717781E-3;3.454759340E-2
2.958492625E0;8.791807674E-2;3.770284653E-3;-2.553596020E-2;9.162908123E-2
2.968488625E0;3.942580171E-2;8.768722136E-4;-2.792981029E-2;4.832429045E-2
2.978483625E0;4.845717346E-2;-2.284149927E-2;-2.748074412E-2;6.020816428E-2
2.988479625E0;4.390760114E-2;4.294825578E-3;-1.850175977E-2;4.783971237E-2
2.998474625E0;4.180525303E-2;-9.505443899E-3;1.413096607E-2;4.514107715E-2
